data,label,ntiles
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20110818_M1BS_103001000C94F200-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20110818_M1BS_103001000C94F200-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20120706_M1BS_1030010019B16500-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20120706_M1BS_1030010019B16500-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20120721_M1BS_103001001AB23900-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20120721_M1BS_103001001AB23900-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20130710_M1BS_103001002536B400-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20130710_M1BS_103001002536B400-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20130818_M1BS_10300100269C9900-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20130818_M1BS_10300100269C9900-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20130820_M1BS_1030010025522400-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20130820_M1BS_1030010025522400-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20150811_M1BS_10300100465A5200-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20150811_M1BS_10300100465A5200-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20160831_M1BS_103001005DB58300-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20160831_M1BS_103001005DB58300-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20170723_M1BS_103001006BD7B700-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20170723_M1BS_103001006BD7B700-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20170805_M1BS_103001006D0FDD00-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20170805_M1BS_103001006D0FDD00-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20180706_M1BS_1030010081668400-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20180706_M1BS_1030010081668400-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20190705_M1BS_1030010094740A00-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20190705_M1BS_1030010094740A00-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20190706_M1BS_1030010095ADF500-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20190706_M1BS_1030010095ADF500-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20200710_M1BS_10300100AAA71100-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20200710_M1BS_10300100AAA71100-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20200711_M1BS_10300100A856F100-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20200711_M1BS_10300100A856F100-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV03_20180719_M1BS_1040010040168B00-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV03_20180719_M1BS_1040010040168B00-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV03_20190707_M1BS_104001004F0ED700-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV03_20190707_M1BS_104001004F0ED700-sr-02m-jj-square-meco2.tif,1000
